,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ketchikan,US,50.09,55.34,-131.65,70,1,10.29
1,Victoria,BN,87.37,5.28,115.24,70,75,3.36
2,Nebyliv,UA,32,48.81,24.22,72,75,6.71
3,Bom Jesus,BR,70.61,-9.08,-44.36,95,64,2.48
4,Albany,US,33.03,42.65,-73.75,29,20,14.99
5,Khatanga,RU,23.45,71.98,102.47,86,32,14.9
6,Poum,MK,32.09,41.28,20.71,70,64,1.7
7,Port Alfred,ZA,68.54,-33.59,26.89,78,12,14
8,Thompson,CA,15.8,55.74,-97.86,66,75,11.41
9,Carutapera,BR,78.17,-1.2,-46.02,95,92,5.73
10,Lompoc,US,56.7,34.64,-120.46,87,75,4.5
11,Alofi,NU,83.75,-19.06,-169.92,96,88,8.97
12,Pisco,PE,73.4,-13.71,-76.2,73,75,3.36
13,Tautira,PF,83.05,-17.73,-149.15,74,75,5.82
14,Chowchilla,US,52.7,37.12,-120.26,77,1,4.7
15,New Norfolk,AU,73.06,-42.78,147.06,27,0,8.05
16,Punta Arenas,CL,38.21,-53.16,-70.91,86,20,4.7
17,Saint George,GR,52.16,39.45,22.34,87,90,8.05
19,Guerrero Negro,MX,58.91,27.97,-114.04,92,76,11.88
20,Belaya Gora,RU,8.42,68.54,146.19,94,0,5.17
21,Qaanaaq,GL,-10.67,77.48,-69.36,86,44,9.19
22,Milos,GR,57.2,36.75,24.43,71,92,5.82
23,Rikitea,PF,75.11,-23.12,-134.97,100,92,8.3
24,Ilulissat,GL,8.6,69.22,-51.1,65,32,13.87
25,Tiksi,RU,11.93,71.64,128.87,74,32,5.39
26,Hermanus,ZA,60.89,-34.42,19.24,97,76,3.04
28,Avarua,CK,82.4,-21.21,-159.78,78,12,4.7
29,Cape Town,ZA,59,-33.93,18.42,100,75,8.05
31,Buala,SB,84.92,-8.15,159.59,84,92,2.93
32,Vestmannaeyjar,IS,33.8,63.44,-20.27,69,75,13.87
33,Oktyabrskiy,RU,28.33,55.61,37.97,80,40,8.95
35,Sur,OM,75.11,22.57,59.53,88,0,4.16
36,Santo Andre,BR,76.46,-0.91,-46.86,96,92,2.71
